index,genre,chrom_spec,spec_centroid,spec_bandwidth,spec_rolloff,zcr,tempo,rms,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49,mfcc50
0,blues,0.35008813,1784.16585,2002.44906,3805.839606,0.083044821,123.046875,0.13022792,-113.5706501,121.5717983,-19.16814183,42.36641931,-6.36466297,18.62349792,-13.70488971,15.34314956,-12.27410844,10.97657055,-8.326572194,8.803791232,-3.672299422,5.747994547,-5.162881231,0.752738554,-1.690214168,-0.408980042,-2.303522017,1.22128974,-3.534349845,-1.141433708,-4.283032149,-4.226196343,0.915616877,0.912686637,-5.761346933,-3.932743845,1.510824037,2.698881996,5.657471416,-3.266237769,-0.203034127,-3.000293288,4.477232649,-0.475905404,6.009238399,-0.058892075,-3.458507555,-1.84239084,1.737206563,-0.249805465,-3.693818542,-1.9799328,-2.660220551,-1.128808332,0.707247771,4.70558033,0.645501136,-2.445935894
1,blues,0.340913562,1530.176679,2039.036516,3550.522098,0.056039809,107.6660156,0.09594781,-207.501685,123.9912585,8.955128384,35.87764681,2.907320722,21.51046711,-8.560436525,23.37068584,-10.09966052,11.90049675,-5.555638115,5.37632652,-2.231760011,4.220139939,-6.012148724,0.92799653,-0.731124375,0.295072259,-0.283517946,0.531215872,-4.095795549,-1.239113077,-2.849730492,-4.350280743,3.272610565,1.219839702,-0.011623029,-0.06807033,3.97746156,-0.455880446,0.836269488,-3.741306015,-4.101219743,-2.453210576,5.834586177,3.544923338,4.896553097,-0.414923153,-1.994147503,-0.461869455,1.132773032,-1.661640985,-2.498393579,-2.912226163,-4.111733741,-2.870191199,0.194629201,0.953764337,-2.822234763,-3.975501192
2,blues,0.363637185,1552.811865,1747.702312,3042.260232,0.076291207,161.4990234,0.17557041,-90.72259499,140.4463057,-29.09389022,31.68433633,-13.98450337,25.76474346,-13.66487505,11.63993308,-11.78364223,9.718760448,-13.13380333,5.79119893,-8.907628025,-1.077000177,-9.229273728,2.45168866,-7.729093449,-1.816407795,-3.43972047,-2.231258841,-4.050980719,-0.572249141,-2.018495837,-5.387676108,-5.137322303,-7.807413002,-1.173292989,-0.211240151,1.391639418,-3.00248989,-1.370160669,-4.741364635,-0.375583248,0.488724315,0.442401936,-4.162790053,-4.815226024,-6.703013043,-4.424408884,-0.984266538,3.726900548,1.322144409,-1.801256141,-1.589433334,1.614465233,-1.590960878,-4.517297734,-3.311690573,2.159647134,-1.998482735
3,blues,0.404784715,1070.106615,1596.412872,2184.745799,0.033308863,172.265625,0.141093,-199.5442,150.0909083,5.662679298,26.85907931,1.771400203,14.23402962,-4.832005889,9.286494752,-0.759185868,8.137605794,-3.200652415,6.079318743,-2.480173335,-1.079304934,-2.870788265,0.780872671,-3.31959658,0.636964473,-0.61912103,-3.407448869,-1.49706971,-0.05223564,-1.860377551,-4.708420624,-3.922396659,-6.646779147,-2.896451862,-3.225220658,-0.269410614,-3.817973953,-2.821435582,-4.206202548,-2.698562129,-3.844216162,-2.523301277,-4.936951371,-5.957227751,-6.616439631,-6.393889206,-1.493311306,0.875079212,-3.008362518,-4.552733725,-3.047182937,-4.454864367,-4.106451146,-4.10983034,-1.769092057,-2.784498412,-5.746883068
4,blues,0.308526016,1835.004266,1748.172116,3579.757627,0.101460539,135.9991776,0.09152871,-160.3377111,126.2196312,-35.58780915,22.14807083,-32.47860168,10.85229293,-23.35233001,0.498432365,-11.79343581,1.207254182,-13.08841664,-2.813868176,-6.933384364,-7.552726154,-9.164665258,-4.520576573,-5.454033921,-0.916874519,-4.404826463,-11.70323443,-5.86422124,-0.721730054,0.956658761,-1.220395387,4.582734201,0.304412757,-1.278633604,-4.487785466,-0.413577771,0.281198478,8.484922844,3.64918955,-3.008155766,-6.113420939,-6.954075584,-4.067755447,-1.135257686,-0.492063265,-4.787803738,-3.220562321,2.071163438,0.596107653,-2.696402867,-5.808816098,-6.010361091,-2.101306729,1.732747057,2.21993346,-3.609359716,-3.765912002
5,blues,0.302456259,1831.99394,1729.653287,3481.517592,0.094041534,112.3471467,0.10349364,-177.7742347,118.2054852,-17.5658787,30.76239999,-21.74783904,11.92099345,-20.73099398,3.186577549,-8.586038605,-0.932852402,-11.77243406,-2.405832807,-9.343664749,-9.936210425,-3.903994734,-5.576590564,-1.838263037,-2.783800193,-3.047909141,-8.109991121,-2.465662335,-1.703650555,-4.272955316,-4.636161438,-2.323672772,0.931966238,4.380680287,5.195140332,5.693446844,2.533383054,2.617696637,-4.353385643,-6.807137435,-2.914747743,-1.059977906,1.906491818,1.01195794,-3.117517154,-5.301414018,-5.257538293,-1.47372683,-1.222163828,-3.633461985,-3.867306443,-4.834869296,-2.199076385,2.063136582,6.504954591,5.142225486,-1.043859979
6,blues,0.291327985,1459.366472,1389.009131,2795.610963,0.073052237,123.046875,0.14187415,-190.0523732,130.2890831,-36.36953513,33.02903372,11.10878255,-0.605583466,-20.87185659,0.273024842,-6.486139518,-5.516767238,-7.839751158,-3.128592006,-6.596197266,-9.9503789,-6.535176922,-10.06805318,-10.91317563,-6.971337069,-3.436504661,-6.483466095,-7.104796999,-7.128736812,-5.27547478,-4.593351169,-3.24952689,-2.904757638,1.427190599,2.925284128,2.118998542,-1.482453552,-0.630529074,2.966850959,2.610235186,1.794358151,-1.984807771,-5.164945098,-2.372154566,0.140128034,3.705016932,5.263039114,4.118480252,1.19627781,-2.596026282,-3.750524871,-4.012058946,-1.934650785,-2.484495675,-2.486600913,-3.161754018,-4.59876718
7,blues,0.307954803,1451.667066,1577.270941,2954.83676,0.061442246,92.28515625,0.13182218,-179.3471491,136.4690133,-26.67313461,39.98424445,5.304418544,10.92861028,-20.56482722,8.511155696,-11.35724909,-3.468347023,-8.419936971,-6.949715896,-3.539138585,-8.041617638,-8.960675042,-8.426084005,-10.56893646,-10.78451557,-4.690677377,-8.63072249,-11.01379699,-10.37694461,-1.843876317,-1.445987101,-3.126669843,-1.185474899,-3.6148351,-3.250749843,-0.633211577,0.895161664,4.02133409,2.705824714,-0.166186461,-2.532235307,-3.461073431,-2.882136236,0.73907384,-1.943739322,-4.87008245,-3.231449592,0.955770427,1.757518544,-0.06596303,-4.092400036,-4.479889758,-0.115875511,1.831178339,2.082749126,0.290855495,-2.22562233
8,blues,0.408879248,1719.368948,2031.740381,3782.316288,0.064024888,83.35433468,0.14241649,-121.3639398,122.5066828,-14.73819649,46.13106758,-8.18187974,20.18296351,-19.17337899,23.03913981,-11.83822438,21.15999923,-6.718366172,6.992542296,-12.73059788,5.061325372,-5.183214745,-1.452560018,-7.04182517,2.695247862,3.412305472,-2.715692375,-4.272667452,-0.624476174,-4.290114759,-13.37291454,-8.269034709,-2.099667804,10.5548646,2.924353279,-1.03698841,-0.75597486,-0.504729248,-1.407393633,-1.883840299,-1.814467994,2.364485991,-4.303111688,-3.883335077,-5.09316273,0.511093318,1.187461652,-0.958896443,-6.250477087,-4.108889431,-0.373683356,-1.298066012,-6.53775678,-5.815702084,-3.164670118,-2.345837244,-9.355432686
9,blues,0.273950398,1817.150863,1973.773306,3943.490565,0.079174824,129.1992188,0.08131366,-213.240002,115.1655973,-11.69342917,39.01427356,-20.34127784,13.07760447,-9.173517682,9.011445506,-14.10063178,4.265940074,-6.04616578,3.782205423,0.221800354,-5.109400414,-0.410229549,-1.17992199,-1.916804084,-2.292661506,2.881967416,-4.235203412,1.593165749,2.469943343,-0.897207869,1.863140028,5.033818339,0.769867138,5.637290832,0.443052852,-0.904334946,-2.204517687,-1.89306646,-3.459536702,-0.970022453,1.549912699,3.188757787,4.550010384,1.900949127,-0.685952818,-2.742020357,-0.05776844,-0.095285774,-0.98751628,-3.182930227,-0.706147615,-0.96127153,-0.627487268,0.994836857,2.452679511,0.132906998,-2.938374866
